State,County,Date,Raw Description,Information type,Mitigation type,Note,UserID,Source
Kentucky,,3/31/2020,"During his regular update, Gov. Andy Beshear said he signed an executive order allowing localities to re-hire recently retired law enforcement and firefighters without any negative impact on their retirement pay. He said the state has been allowing child care facilities to remain open for first responders and medical workers. The governor is expanding that to include grocery store workers.",government,new public services,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/4
Kentucky,,3/31/2020,"A new order by Gov. Andy Beshear forbids Kentuckians from leaving the state, in order to limit the spread of the coronavirus. At the governor’s daily press briefing on Monday, Chief of Staff La Tasha Buckner said the new rule would permit residents to leave Kentucky only for work, necessary supplies, to see a doctor or take care of a family member, or if travel is required by a court. Beshear said law enforcement or county judges could enforce the order, but its effectiveness relies on Kentuckians.",government,stay at home,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/5
Kentucky,,4/2/2020,Gov. Beshear asked Kentucky schools to remain closed through May 1,other,school closing,Gov. Andy Beshear has asked Kentucky school superintendents to remain closed to in-person instruction through May 1,PR48,https://www.wdrb.com/in-depth/gov-beshear-asks-kentucky-schools-to-remain-closed-through-may-1/article_47a51284-7511-11ea-9707-db7c660d5914.html
Kentucky,,4/3/2020,All Kentucky State Parks no longer will be open for overnight stays,government,public service reduction,Kentucky State Parks will be open to the public between the hours of 7 a.m. and 7 p.m,NC52,https://governor.ky.gov/covid19
Kentucky,,4/4/2020,"Beshear advised in settings where it’s difficult to maintain social distancing, the CDC is advising people wear a cloth mask. He said that no one besides a health care provider should wear a surgical or n95 mask.",government,wear masks,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/3
Kentucky,,4/6/2020,"The Governor announced that he would allow first responders and front-line health care workers to quarantine in cabins at state parks in five locations across the commonwealth, which would allow them to quarantine away from their families and other loved ones if necessary.",government,other,,PR48,https://www.nga.org/coronavirus/
Kentucky,Barbourville,4/7/2020,Mayor David Thompson of Barbourville and half of the city’s police officers have been ordered to quarantine themselves,other,other,Had interacted with a police employee who later tested positive for COVID-19,PR48,https://www.livescience.com/kentucky-coronavirus.html
Kentucky,,4/8/2020,The Governor filed a new executive order limiting essential travel to groceries and pharmacies to only one person per household. There are exceptions in the order for people with young children or other people in the household who can’t be left alone. The order also eliminated door-to-door solicitation. The state has renewed an executive order allowing people to renew their prescriptions without having to go to the doctor.,government,stay at home,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/2
Kentucky,,4/9/2020,Gov. Beshear announced that Natural Bridge and Cumberland Falls state resort parks have been ordered to close,government,non-essential closing,​In a move to prevent crowds from congregating,NC52,https://governor.ky.gov/covid19
Kentucky,,4/9/2020,Gov. Beshear issues executive order that only 1 member of a household may enter a grocery store,government,stay at home,,PR48,https://www.livescience.com/kentucky-coronavirus.html
